ega_file_id	dataset_id	ega_sample_id	ega_analysis_accession	encrypted_file_md5sum	ega_run_id	project_code	file_name	file_size	submitter_sample_id	file_md5sum	ega_experiment_id
EGAF00000525238	EGAD00001003842	EGAN00001198192		2e67a2d9b907462f5e1824654e1b534d	EGAR00001192974	ESAD-UK	LP6005409-DNA_C02.bam	170313000000	LP6005409-DNA_C02	bdaf85c476a0092c0d8c724e50634d95	EGAX00001187752
EGAF00000525455	EGAD00001003842	EGAN00001198363		ee906b207ed1d75551ae69f2d7c2a217	EGAR00001193110	ESAD-UK	LP6005689-DNA_F03.bam	129316000000	LP6005689-DNA_F03	378ee8b8272acf966514206944cb9199	EGAX00001187888
EGAF00000235890	EGAD00001003842	EGAN00001167669		4339f707d110867dd66d55b8cd727749	EGAR00001130634	ESAD-UK	pilot1/SS6003117.bam	155192000000	SS6003117	28af9b413ad831ce44221d64a69b9de4	EGAX00001126747
EGAF00001680697	EGAD00001003842	EGAN00001558977		c708bf4b3c034f3e9fa5bd13c716fad4	EGAR00001566566	ESAD-UK	LP6008268-DNA_B07.bam		LP6008268-DNA_B07	ddb9f1e1178e923f53bc7f9aec3c5e3c	EGAX00001522332
EGAF00001680690	EGAD00001003842	EGAN00001558970		462b188ddc7f8dad345a064df49750c2	EGAR00001566559	ESAD-UK	LP6008268-DNA_C06.bam		LP6008268-DNA_C06	47e1c2a819f926fdb1e75f11aea26ca4	EGAX00001522325
EGAF00000525254	EGAD00001003842	EGAN00001198208		5279317a1609f8730613421dc2e28e63	EGAR00001192990	ESAD-UK	LP6005409-DNA_F02.bam	153520000000	LP6005409-DNA_F02	51cdaee939f54ef14c3ac30f14f8b3b1	EGAX00001187768
EGAF00000530905	EGAD00001003842	EGAN00001201509		b653dc7ba37275ee8d3b372363af5024	EGAR00001193693	ESAD-UK	LP6007513-DNA_A01.bam	120037000000	LP6007513-DNA_A01	d875bc473b505ab52d843a523669f00b	EGAX00001188471
EGAF00000661645	EGAD00001003842	EGAN00001246629		77ff214e5669664eee98bf1d3444fc11	EGAR00001253348	ESAD-UK	LP6005934-DNA_G03.bam	101831000000	LP6005934-DNA_G03	b61806d902e292ca6f2edbaad416cec1	EGAX00001238248
EGAF00001680625	EGAD00001003842	EGAN00001558905		e272ff86313cfc9fc3ad54c891ea89cf	EGAR00001566494	ESAD-UK	LP6008269-DNA_D07.bam		LP6008269-DNA_D07	93a6c1c3552708e21bbbf027874f3bbe	EGAX00001522260
EGAF00000530880	EGAD00001003842	EGAN00001201484		a1806168782b8c48db49cd687663b5dc	EGAR00001193668	ESAD-UK	LP6007516-DNA_A01.bam	221799000000	LP6007516-DNA_A01	93ec93681194436fe07ee1ca02a2513e	EGAX00001188446
EGAF00000525257	EGAD00001003842	EGAN00001198211		ef0009b747d99e49d8bc3a049fd1d4d3	EGAR00001192993	ESAD-UK	LP6005409-DNA_G03.bam	176588000000	LP6005409-DNA_G03	d4252f374b3840d7015e675210333500	EGAX00001187771
EGAF00000525256	EGAD00001003842	EGAN00001198210		41d5a910608a02b3066fc65a426751f0	EGAR00001192992	ESAD-UK	LP6005409-DNA_F03.bam	133778000000	LP6005409-DNA_F03	fad48c69fdf50a6f301d1db1f7b799fa	EGAX00001187770
EGAF00000530909	EGAD00001003842	EGAN00001201513		ad7d9bc08ff68144324e2853341ad4b1	EGAR00001193697	ESAD-UK	LP6007522-DNA_A01.bam	122703000000	LP6007522-DNA_A01	515b3dc75be9744c4803de9aeab1a322	EGAX00001188475
EGAF00000814113	EGAD00001003842	EGAN00001277439		57868c9d18c6d082c12c0341ef8241c7	EGAR00001325070	ESAD-UK	LP6008050-DNA_E02.bam	54341042046	LP6008050-DNA_E02	402ba79500c089ae975ec0105234819d	EGAX00001296356
EGAF00001415435	EGAD00001003842	EGAN00001467525		8927362daae6a82a864620172798f1cd	EGAR00001500339	ESAD-UK	LP6008264-DNA_F01.bam	64296815878	LP6008264-DNA_F01	35df4a25258e9d280fb2707a1677325c	EGAX00001462777
EGAF00000560165	EGAD00001003842	EGAN00001202502		f58c1166ae0f5e805e1bb1edbfc06dae	EGAR00001202533	ESAD-UK	LP6005499-DNA_C03.bam	103607000000	LP6005499-DNA_C03	6dbc047e4d0263f0c959d6075c9aa823	EGAX00001197189
EGAF00000661609	EGAD00001003842	EGAN00001246588		f43e774594a962dce020ef41b161ebc9	EGAR00001253307	ESAD-UK	LP6005935-DNA_C02.bam		LP6005935-DNA_C02	04f5eb264d91c84c96b4a6d552a9b620	EGAX00001238207
EGAF00000905645	EGAD00001003842	EGAN00001342140		eee9f5c7405328816f5fcd927336dcb7	EGAR00001370189	ESAD-UK	LP6008138-DNA_B03.bam	75297469122	LP6008138-DNA_B03	1baa447aeeb49f465bd972de382cb034	EGAX00001340362
EGAF00000525216	EGAD00001003842	EGAN00001198170		7c53dc0d576e7a394ae2ebc7e6b982f4	EGAR00001192952	ESAD-UK	LP6005408-DNA_C02.bam	90501831848	LP6005408-DNA_C02	e7730344b313809ba5ea74191d1f451a	EGAX00001187730
EGAF00000814165	EGAD00001003842	EGAN00001277438		8abdd304252bcf971fc78b0f7d10b95e	EGAR00001325069	ESAD-UK	LP6008050-DNA_C02.bam	56915050024	LP6008050-DNA_C02	147b289634ced47608a684898bebe3c8	EGAX00001296355
EGAF00000525195	EGAD00001003842	EGAN00001198152		abecc4f62dc893b3cc3e6e3fadd8ba03	EGAR00001192934	ESAD-UK	LP6007436-DNA_A01.bam	194378000000	LP6007436-DNA_A01	1aaf9813b9ca067dcd6ef61f7fe25617	EGAX00001187712
EGAF00000530889	EGAD00001003842	EGAN00001201493		1cfdad148b264490e4b361597db1ba27	EGAR00001193677	ESAD-UK	LP6007552-DNA_A01.bam	197319000000	LP6007552-DNA_A01	b5aa3bcedceffbaf079e47864757e788	EGAX00001188455
EGAF00000661629	EGAD00001003842	EGAN00001246613		9692d74dfac23abef40c7bfb94f38527	EGAR00001253332	ESAD-UK	LP6005934-DNA_F01.bam	89591291287	LP6005934-DNA_F01	2a40c4244273ed2e93db7db1abd8acff	EGAX00001238232
EGAF00000905642	EGAD00001003842	EGAN00001342137		bfd4fc4da456cf7f28d90a33f14a1fb1	EGAR00001370186	ESAD-UK	LP6008138-DNA_G02.bam	48608401402	LP6008138-DNA_G02	31aa997257c62abd23874cf2f256c803	EGAX00001340359
EGAF00001415388	EGAD00001003842	EGAN00001467518		076b45a673b824920fc7476e06953a4a	EGAR00001500332	ESAD-UK	LP6008280-DNA_A03.bam	126544000000	LP6008280-DNA_A03	16d53f2a859d68602c1cc80c050473cc	EGAX00001462770
EGAF00000530881	EGAD00001003842	EGAN00001201485		84f8866fd68ce7dbf82713c14c25d784	EGAR00001193669	ESAD-UK	LP6007518-DNA_A01.bam	170988000000	LP6007518-DNA_A01	e5540389cf6f4a3bc455b83377730299	EGAX00001188447
EGAF00000525258	EGAD00001003842	EGAN00001198212		7553349b2bb4aab05a3fbff964bdf26b	EGAR00001192994	ESAD-UK	LP6005409-DNA_H03.bam	184542000000	LP6005409-DNA_H03	76eb2d2178801c313a164609701ac1b1	EGAX00001187772
EGAF00000661685	EGAD00001003842	EGAN00001246652		18cf9163d9f7112b44d125ba172a2d82	EGAR00001253371	ESAD-UK	LP2000323-DNA_A01.bam	81527735436	LP2000323-DNA_A01	6e5fa9ff447869572f456a907d9c8d83	EGAX00001238271
EGAF00000530908	EGAD00001003842	EGAN00001201512		b83e31adb80d111d9448bae4dbae5909	EGAR00001193696	ESAD-UK	LP6007519-DNA_A01.bam	140200000000	LP6007519-DNA_A01	049a5a161a22dfe5e433b0bdbc9d9cfc	EGAX00001188474
EGAF00001415431	EGAD00001003842	EGAN00001467521		8212b93e0ba49dcda85d90925c4512a9	EGAR00001500335	ESAD-UK	LP6008264-DNA_A01.bam	64312536811	LP6008264-DNA_A01	f37238623ea2c8610d4ee3367a0f31ec	EGAX00001462773
EGAF00000530882	EGAD00001003842	EGAN00001201486		4af610f694715a7ba2635ec4ff71f02c	EGAR00001193670	ESAD-UK	LP6007523-DNA_A01.bam	222389000000	LP6007523-DNA_A01	986aca2e9184778ea4ea148b6c62f8f2	EGAX00001188448
EGAF00000814036	EGAD00001003842	EGAN00001277443		a90097ab9417534611608e411f495f2a	EGAR00001325074	ESAD-UK	LP6008051-DNA_F01.bam	105163000000	LP6008051-DNA_F01	357b29952a079b229259199ae60d60fd	EGAX00001296360
EGAF00000525438	EGAD00001003842	EGAN00001198346		4d338d66ba82b83c9264ed69ee18c03e	EGAR00001193093	ESAD-UK	LP6005689-DNA_D01.bam	116863000000	LP6005689-DNA_D01	76d964c03ab1928db55d654cc6416756	EGAX00001187871
EGAF00001181001	EGAD00001003842	EGAN00001391366		1b406f47bc47a013303bca2dce0e3c4c	EGAR00001436354	ESAD-UK	LP6008221-DNA_D02.bam		LP6008221-DNA_D02	6efb8f54705242a9c5a27279fcda95a3	EGAX00001399245
