project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id	file_size
LAML-KR	AML_14y_03_control	EGAN00001417287	EGAX00001588808	EGAR00001634189	1749_SD_H0BGF_30x_sort_dup_rea_recal.bam	EGAF00001840833	0095d31fde1e5ab149a41b6426d813a3	b87f3eaa05309cf0d184a45a50f60f82	EGAD00001003925	108333417741
LAML-KR	SNU_WGS_01_S1	EGAN00001679757	EGAX00001625793	EGAR00001671354	1768_sorted_dupl_realign_recalib.bam	EGAF00001902341	dc710d1fe49ffd7970daceafb65ba97d	7c2b12af206968fea016f121b5d3b18e	EGAD00001004011	89112495723
LAML-KR	SNU_WGS_10_G0	EGAN00001679754	EGAX00001625790	EGAR00001671351	1675_SD_1_sorted_dupl_realign_recalib.bam	EGAF00001902338	4e64f9c991e3dc235759fe979a9861f4	19e465c6a618007f7c5592bdc0d98a20	EGAD00001004011	63188360691
LAML-KR	SNU_WGS_05_G0	EGAN00001679750	EGAX00001625786	EGAR00001671347	1881_sorted_dupl_realign_recalib.bam	EGAF00001902334	ef876161328a36288841b46c777f6776	d94c583e4aae02195cd56a621cdfa7e9	EGAD00001004011	71359828344
LAML-KR	SNU_WGS_04_G0	EGAN00001679749	EGAX00001625785	EGAR00001671346	717SD_sorted_dupl_realign_recalib.bam	EGAF00001902333	b9cc5de69d83c58f64aa5e583bbd8cb0	8ce63395cb2326b882ceaf526544f434	EGAD00001004011	94172794326
LAML-KR	AML_14y_02_DX	EGAN00001417296	EGAX00001588817	EGAR00001634198	1358-1_H07RK_60x_sort_dup_rea_recal.bam	EGAF00001840842	7865325134f1f9429ecd78dbfa1fdb1f	bbd4fa4539246c407840bc95e34dd3f1	EGAD00001003925	259625634841
LAML-KR	AML_14y_08_control	EGAN00001417292	EGAX00001588813	EGAR00001634194	2119SD_H02LT_30x_sort_dup_rea_recal.bam	EGAF00001840838	ef2d03cfbe6fe6d25217769735cd6d98	9e52b3b7ef578d984ff2f4757bdd3c46	EGAD00001003925	137805376197
LAML-KR	AML-ETO-07-T	EGAN00001679770	EGAX00001625806	EGAR00001671367	528_1_sorted_dupl_realign_recalib.bam	EGAF00001902354	4aa9e9063d344c10a2a3f983076baebc	5bda195cc572846ee8fe40131a1d97a4	EGAD00001004012	71265638572
LAML-KR	AML_14y_07_DX	EGAN00001417301	EGAX00001588822	EGAR00001634203	880_H00NR_60x_sort_dup_rea_recal.bam	EGAF00001840847	ee9473ffe78a4e438ed07cfba6296a36	3414eb938ca1fe904d2acfc1bf5fbaf7	EGAD00001003925	None
LAML-KR	SNU_WGS_09_G0	EGAN00001679753	EGAX00001625789	EGAR00001671350	1285_SD_sorted_dupl_realign_recalib.bam	EGAF00001902337	551c39f6e2827ff98bc7cfd0d25a7c1a	09fbf28425c0eb21ae6592d23eed6e6d	EGAD00001004011	69225870025
