project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id	file_size
LUSC-KR	J57_T	EGAN00001327867	EGAX00001612663	EGAR00001658223	J57-T_60x_sort_dup_rea_recal.bam	EGAF00001879647	97651da1b431f3e189f727af103ebed4	62a445c5b9c1705c63d1480984a6eef6	EGAD00001003978	257842656143
LUSC-KR	J85_T	EGAN00001327876	EGAX00001612681	EGAR00001658241	J85-T_60x_sort_dup_rea_recal.bam	EGAF00001879665	900742666eff9ec79baa7fb154b1cf65	2e052eae86e1e4873dd768191762145a	EGAD00001003978	
LUSC-KR	J17_T	EGAN00001327857	EGAX00001612643	EGAR00001658203	J17-T_60x_sort_dup_rea_recal.bam	EGAF00001879627	b403a54c672573bad7e988076fb0d0dd	e14ba558efbb877bb9c66bb90804d358	EGAD00001003978	251364122518
LUSC-KR	J46_N	EGAN00001327834	EGAX00001612656	EGAR00001658216	J46-N_60x_sort_dup_rea_recal.bam	EGAF00001879640	c4a0a846f298804fdaf1326083ff683a	df301aa80a093938190b0452ff9ed5e9	EGAD00001003978	132723692349
LUSC-KR	J75_N	EGAN00001327842	EGAX00001612672	EGAR00001658232	J75-N_30x_sort_dup_rea_recal.bam	EGAF00001879656	1c8d7ee4865ee6645ed14f08233a65e5	c2197d7a37404e046f71f9484ea72d3c	EGAD00001003978	143879237945
LUSC-KR	J13_T	EGAN00001327855	EGAX00001612639	EGAR00001658199	J13-T_60x_sort_dup_rea_recal.bam	EGAF00001879623	2e77da05c15c28eb2e00829963fd7dc7	6a180ef6020dbcc373fda8d6af83fbd8	EGAD00001003978	250840182462
LUSC-KR	J85_N	EGAN00001327846	EGAX00001612680	EGAR00001658240	J85-N_30x_sort_dup_rea_recal.bam	EGAF00001879664	da49b2bff4430499d3c4ac256c0a2f0a	d85f2525dd54369b484552687f20e1f4	EGAD00001003978	
LUSC-KR	J75_T	EGAN00001327872	EGAX00001612673	EGAR00001658233	J75-T_60x_sort_dup_rea_recal.bam	EGAF00001879657	b24d73f8f5d999fb051705b3d33a36ee	b130150ff245b2c4c6177a7e2d7a8fcd	EGAD00001003978	257770453183
LUSC-KR	J46_T	EGAN00001327864	EGAX00001612657	EGAR00001658217	J46-T_60x_sort_dup_rea_recal.bam	EGAF00001879641	c55f2a75b9897c3e61b01b001cf2c589	3e7e39522984e4c9f17005d339f58876	EGAD00001003978	247211921243
LUSC-KR	J31_T	EGAN00001327859	EGAX00001612647	EGAR00001658207	J31-T_60x_sort_dup_rea_recal.bam	EGAF00001879631	e7afe7311d39e669a44ad878dbff79fd	bc3b128a9f65a15115088c468957f04b	EGAD00001003978	250498489880
LUSC-KR	J1_T	EGAN00001327850	EGAX00001612629	EGAR00001658189	J1-T_60x_sort_dup_rea_recal.bam	EGAF00001879613	99bf8f7b5638ac23f44a4ffc0943e405	cc6af602a2463d64ca8a3f0e8dcf9fb1	EGAD00001003978	252044571598
LUSC-KR	J6_N	EGAN00001327821	EGAX00001612630	EGAR00001658190	J6-N_30x_sort_dup_rea_recal.bam	EGAF00001879614	92c618bd6f15e3606059c24b92a0fd34	03a986854082eb21d0880f562ac5f23b	EGAD00001003978	124031431260
LUSC-KR	J63_N	EGAN00001327838	EGAX00001612664	EGAR00001658224	J63-N_30x_sort_dup_rea_recal.bam	EGAF00001879648	b599fca7dcc20b0141616741afceca0e	8450245dc7493e5a65fcf8f83119fe6a	EGAD00001003978	145125059498
LUSC-KR	J13_N	EGAN00001327825	EGAX00001612638	EGAR00001658198	J13-N_60x_sort_dup_rea_recal.bam	EGAF00001879622	8905278c3e108e26602a989b9178e16a	915b22ac72febdf0517ce513ca83ef6d	EGAD00001003978	132739223529
LUSC-KR	J9_T	EGAN00001327852	EGAX00001612633	EGAR00001658193	J9-T_60x_sort_dup_rea_recal.bam	EGAF00001879617	3aad9da75680b048f8377728bfac7aff	705153bbad81bc248fc59ce9333a9ea9	EGAD00001003978	253192923123
LUSC-KR	J73_N	EGAN00001327840	EGAX00001612668	EGAR00001658228	J73-N_30x_sort_dup_rea_recal.bam	EGAF00001879652	8c6f4b326bc1a3b65b74bc8d62a4734a	bff09112f4a45ab1adfcae708d9b09df	EGAD00001003978	148163199122
LUSC-KR	J36_T	EGAN00001327862	EGAX00001612653	EGAR00001658213	J36-T_60x_sort_dup_rea_recal.bam	EGAF00001879637	938444249709f9801bc4acb214ad50bc	b1ef9c6c95ef3399f4240a48158019f5	EGAD00001003978	236544883468
LUSC-KR	J83_T	EGAN00001327875	EGAX00001612679	EGAR00001658239	J83-T_60x_sort_dup_rea_recal.bam	EGAF00001879663	0b29df41badcb2b7825ceba2025b197e	86e5b2b1092e00911cf8dc7cb660a6ae	EGAD00001003978	
LUSC-KR	J1_N	EGAN00001327820	EGAX00001612628	EGAR00001658188	J1-N_60x_sort_dup_rea_recal.bam	EGAF00001879612	48a4884e5d3b75de4973ab5f091e1b83	b9b4e77fade988789b658521f3be5b32	EGAD00001003978	150306366802
LUSC-KR	J17_N	EGAN00001327827	EGAX00001612642	EGAR00001658202	J17-N_60x_sort_dup_rea_recal.bam	EGAF00001879626	2bf6160b866aef748629bd43ecc2e872	d6dc35570ac48ce87dd126cfa3f11bb3	EGAD00001003978	140645517524
LUSC-KR	J32_N	EGAN00001327830	EGAX00001612648	EGAR00001658208	J32-N_60x_sort_dup_rea_recal.bam	EGAF00001879632	511204d411cf932d16bb49469d3cddc4	97ca4c11d97af5a2cf4ee1c6479abcde	EGAD00001003978	127820295312
LUSC-KR	J10_T	EGAN00001327853	EGAX00001612635	EGAR00001658195	J10-T_60x_sort_dup_rea_recal.bam	EGAF00001879619	d0482406164f787f07b2d561c4516242	109fbdb2847b94f1c529a72608a96345	EGAD00001003978	230698970281
LUSC-KR	J73_T	EGAN00001327870	EGAX00001612669	EGAR00001658229	J73-T_60x_sort_dup_rea_recal.bam	EGAF00001879653	87afd1896e1818ba8bad8fc186bef01f	b8dc487aeddc9d69c6aafe25d9c772a6	EGAD00001003978	270414036326
LUSC-KR	J88_T	EGAN00001327878	EGAX00001612685	EGAR00001658245	J88-T_60x_sort_dup_rea_recal.bam	EGAF00001879669	b0dbf553f8387fda1d134c55b6a76f5c	bdddece2af1f1a14cf695b3bf25bd424	EGAD00001003978	269115055039
LUSC-KR	J76_T	EGAN00001327873	EGAX00001612675	EGAR00001658235	J76-T_60x_sort_dup_rea_recal.bam	EGAF00001879659	7b517cf2d7798e33fc0eb46da66d269c	505772321d3d67b015686a388574865f	EGAD00001003978	271971443755
LUSC-KR	J65_T	EGAN00001327869	EGAX00001612667	EGAR00001658227	J65-T_60x_sort_dup_rea_recal.bam	EGAF00001879651	8a2830b8626df774f74726fe7442c990	5fe18c504bad5f1ec0e39ffe62cf30f5	EGAD00001003978	255682598089
LUSC-KR	J38_T	EGAN00001327863	EGAX00001612655	EGAR00001658215	J38-T_60x_sort_dup_rea_recal.bam	EGAF00001879639	cb1714f34a642ef1978554c4b131b6bd	ab8fbf3c482bac815835ff14bb56ce04	EGAD00001003978	237311078590
LUSC-KR	J65_N	EGAN00001327839	EGAX00001612666	EGAR00001658226	J65-N_30x_sort_dup_rea_recal.bam	EGAF00001879650	c831ad4a71464afdc6effd3b05895a64	568943baade3f8a9819ec721f164a3d1	EGAD00001003978	149714629817
LUSC-KR	J90_N	EGAN00001327849	EGAX00001612686	EGAR00001658246	J90-N_30x_sort_dup_rea_recal.bam	EGAF00001879670	81725dbafaada2dab0172e4fbb63b738	001403b0dc4bc7a8106417ecb69aef94	EGAD00001003978	136108250931
LUSC-KR	J6_T	EGAN00001327851	EGAX00001612631	EGAR00001658191	J6-T_60x_sort_dup_rea_recal.bam	EGAF00001879615	0cc292ae58c6e0b1d19d3815cb71a919	798ef2398adea0de2ddd4e4686517fb9	EGAD00001003978	263710215701
LUSC-KR	J15_N	EGAN00001327826	EGAX00001612640	EGAR00001658200	J15-N_60x_sort_dup_rea_recal.bam	EGAF00001879624	16840550e531587d747764e8b9946fb2	88bed825cf9b79f39968681f3ae4681c	EGAD00001003978	127740892421
LUSC-KR	J88_N	EGAN00001327848	EGAX00001612684	EGAR00001658244	J88-N_30x_sort_dup_rea_recal.bam	EGAF00001879668	584e2fdc756eb1dd5a0866db44307a03	d8ee39959c754ae74627961c6af31eb8	EGAD00001003978	129186022751
LUSC-KR	J74_T	EGAN00001327871	EGAX00001612671	EGAR00001658231	J74-T_60x_sort_dup_rea_recal.bam	EGAF00001879655	141fdc849e3b14ee199829ac86ee6bcb	b7452fda37d8f842bd687023eaf1f4cd	EGAD00001003978	241686490403
LUSC-KR	J54_N	EGAN00001327836	EGAX00001612660	EGAR00001658220	J54-N_30x_sort_dup_rea_recal.bam	EGAF00001879644	590574684e59243bf645e91f2a92c61d	a88061a73f8cf3584210b859252d864e	EGAD00001003978	133336181431
LUSC-KR	J30_N	EGAN00001327828	EGAX00001612644	EGAR00001658204	J30-N_30x_sort_dup_rea_recal.bam	EGAF00001879628	ad40d347fcd4bf37d3dd2955d1ee50a2	68a1e2cb6decf322b598b2177d0ebde6	EGAD00001003978	139922537388
LUSC-KR	J57_N	EGAN00001327837	EGAX00001612662	EGAR00001658222	J57-N_30x_sort_dup_rea_recal.bam	EGAF00001879646	0b5bf8f137e4d1b66d06c565daa82f1e	41f0059ca6c84bb1e15ccab6cf19907f	EGAD00001003978	136470495626
LUSC-KR	J83_N	EGAN00001327845	EGAX00001612678	EGAR00001658238	J83-N_30x_sort_dup_rea_recal.bam	EGAF00001879662	93ca882ede2774d350a1a602ca6bd7d1	1569fe70f0ea6777fefb54ba1ebaac03	EGAD00001003978	
LUSC-KR	J31_N	EGAN00001327829	EGAX00001612646	EGAR00001658206	J31-N_30x_sort_dup_rea_recal.bam	EGAF00001879630	1296a422c38e19d002f9e6ef57955c66	beffee0a8bb9db1fe0901b38fb5714bd	EGAD00001003978	136267617006
LUSC-KR	J9_N	EGAN00001327822	EGAX00001612632	EGAR00001658192	J9-N_60x_sort_dup_rea_recal.bam	EGAF00001879616	5a7520f3d0311787dc81d1914d24c5e7	30a3e6b05f5a72e6c1649d650ecc9be4	EGAD00001003978	121420324678
LUSC-KR	J32_T	EGAN00001327860	EGAX00001612649	EGAR00001658209	J32-T_60x_sort_dup_rea_recal.bam	EGAF00001879633	bce6ad78a342182f4c7f2e819c050b06	eb06542148b711187eb2de0e9ca7160a	EGAD00001003978	262873381496
LUSC-KR	J33_T	EGAN00001327861	EGAX00001612651	EGAR00001658211	J33-T_60x_sort_dup_rea_recal.bam	EGAF00001879635	3ca0bec33f94206365122663b70e44a4	2b9ef5323ee6f0af64bf776b32696088	EGAD00001003978	223482355629
LUSC-KR	J54_T	EGAN00001327866	EGAX00001612661	EGAR00001658221	J54-T_60x_sort_dup_rea_recal.bam	EGAF00001879645	326007416078add3fa75135afbe55045	27035d39eff69b10b0298bf29011f18e	EGAD00001003978	269564346791
