project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id	file_size
NKTL-SG	NAITL41	EGAN00001676562	EGAX00001615738	EGAR00001661298	icgc_batch2/NAITL41_R1.fastq.gz	EGAF00001883963	2ca68b26b9d3a00e0145db80dcbcf613	c364374e2475b54b3b97310f3f6cfe92	EGAD00001003271	
NKTL-SG	TNKTL3	EGAN00001514303	EGAX00001500430	EGAR00001544323	TNKTL3_R1.fastq.gz	EGAF00001589940	9b9d3883fcc4d7e7130f14a1796cf7da	4f509f1ed2bd6a3b5eb9e50ae8f58839	EGAD00001003271	68309245122
NKTL-SG	TNKTL23	EGAN00001514323	EGAX00001500476	EGAR00001544369	TNKTL23_R1.fastq.gz	EGAF00001590032	6e39bdb520c96fe439024d3c10458dc7	6c456f17de9a945abf054dbf83176397	EGAD00001003271	61378051386
NKTL-SG	TAITL10	EGAN00001677170	EGAX00001615765	EGAR00001661325	icgc_batch2/TAITL10_R2.fastq.gz	EGAF00001884018	02f7f098e376db8809c3edca8085977e	acd20fe51df2599c62c76d595902f586	EGAD00001003271	
NKTL-SG	TPTCL5	EGAN00001676576	EGAX00001615752	EGAR00001661312	icgc_batch2/TPTCL5_R2.fastq.gz	EGAF00001883992	2603b33fe654d329de1e4dcc28619630	ec4b8c6b28624998b586a27a1680d922	EGAD00001003271	
NKTL-SG	TNKTL20	EGAN00001514320	EGAX00001500470	EGAR00001544363	TNKTL20_R2.fastq.gz	EGAF00001590021	b1bf3820e8fdd4bbd6d9042739655a2f	44fa109164707801da02d0d7e508bae6	EGAD00001003271	69153463739
NKTL-SG	NNKTL15	EGAN00001675537	EGAX00001500459	EGAR00001544352	NNKTL15_R2.fastq.gz	EGAF00001589999	d6953b001e0b2b501bd8069db9f05ce9	8784648448949b1d2da1e007c7faa349	EGAD00001003271	36898000099
NKTL-SG	TAITL23	EGAN00001676563	EGAX00001615739	EGAR00001661299	icgc_batch2/TAITL23_R2.fastq.gz	EGAF00001883966	a1e4ff3228ddb090ee4011608882519b	7d4b7761bd58c17ef726e2186be66a71	EGAD00001003271	
NKTL-SG	NNKTL8	EGAN00001675530	EGAX00001500442	EGAR00001544335	NNKTL8_L004_R1.fastq.gz	EGAF00001589964	cf3f00067633ecd3c8cbe3af89057cd4	9622c7869f8c81639a92aeb31cd34f02	EGAD00001003271	31807381007
NKTL-SG	NAITL44	EGAN00001676539	EGAX00001615715	EGAR00001661275	icgc_batch2/NAITL44_R1.fastq.gz	EGAF00001883917	dc1c2f09ea37e279ca9c6ddad489825e	8d11247036b76b0cf523946aa73e356c	EGAD00001003271	
NKTL-SG	TAITL71	EGAN00001676571	EGAX00001615747	EGAR00001661307	icgc_batch2/TAITL71_R1.fastq.gz	EGAF00001883981	8a2c0b895a9f3a672cd824115a0f6b23	6212edcca6f6c48b19285c13383e54fd	EGAD00001003271	
NKTL-SG	NALCL15	EGAN00001676548	EGAX00001615724	EGAR00001661284	icgc_batch2/NALCL15_R1.fastq.gz	EGAF00001883935	a5f319687372c8126188569e5d5b6168	f5563073f8f590ba99ed5efd051f705d	EGAD00001003271	
NKTL-SG	TAITL37	EGAN00001676569	EGAX00001615745	EGAR00001661305	icgc_batch2/TAITL37_R1.fastq.gz	EGAF00001883977	d9ed6dade8696484579d724c99d5001b	55cd604b918fdf1f8786429774ae4286	EGAD00001003271	
NKTL-SG	TNKTL8	EGAN00001514308	EGAX00001500444	EGAR00001544337	TNKTL8_L002_R1.fastq.gz	EGAF00001589968	b3e28e933aaaadd86e182f1388fa83cb	5569c0f3614f0459520284ac7cfa6275	EGAD00001003271	31203135802
